,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Everyday Life,1,7H4NC6MYkcO91vrXwRQ4N1,Sunrise,spotify:track:7H4NC6MYkcO91vrXwRQ4N1,0.939,0.161,0.216,0.54,0.0773,-12.302,0.0389,83.857,0.034,26
1,Everyday Life,2,4nb8OcZG8lpnHi5DmkEnY2,Church,spotify:track:4nb8OcZG8lpnHi5DmkEnY2,0.00865,0.448,0.736,0.145,0.147,-6.98,0.0366,123.956,0.133,27
2,Everyday Life,3,49YD8pGETf5HUKxouVdq3W,Trouble In Town,spotify:track:49YD8pGETf5HUKxouVdq3W,0.426,0.374,0.316,0.651,0.111,-11.456,0.0318,95.104,0.326,25
3,Everyday Life,4,0puPjLkM0yGkHcgJ5Cx0Tu,BrokEn,spotify:track:0puPjLkM0yGkHcgJ5Cx0Tu,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.155,0.521,25
4,Everyday Life,5,6s2hGG9yeBypHY9Gf8poVv,Daddy,spotify:track:6s2hGG9yeBypHY9Gf8poVv,0.931,0.636,0.18,0.801,0.513,-19.54,0.0338,116.945,0.202,26
5,Everyday Life,6,4OcWgqzJPCxfxhUveVHHFj,WOTW / POTP,spotify:track:4OcWgqzJPCxfxhUveVHHFj,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,0.802,24
6,Everyday Life,7,3O9LthKRLBGvldECecoHYz,Arabesque,spotify:track:3O9LthKRLBGvldECecoHYz,0.000117,0.4,0.835,0.846,0.373,-7.728,0.0549,172.007,0.167,26
7,Everyday Life,8,1z5nCEeGw23FVORtbNYCHG,When I Need A Friend,spotify:track:1z5nCEeGw23FVORtbNYCHG,0.921,0.224,0.28,0.36,0.135,-18.225,0.049,87.871,0.447,24
8,Everyday Life,1,1N07LKSbSEsrECpw1SVkt8,Guns,spotify:track:1N07LKSbSEsrECpw1SVkt8,0.779,0.476,0.562,0.209,0.138,-8.333,0.0326,85.252,0.703,23
9,Everyday Life,2,4cUpJkAYVyJ6OR6f7dYTzb,Orphans,spotify:track:4cUpJkAYVyJ6OR6f7dYTzb,0.0254,0.503,0.808,0.00162,0.557,-5.051,0.045,107.975,0.283,34
